Point Cloud Visibility
87
Visibility for camera IMG_20241230_135636.jpg
689
276 809.075 458.467
277 810.792 504.339
279 816.662 595.469
280 817.674 587.23
281 819.326 719.14
282 821.834 731.837
283 820.984 632.888
285 824.202 558.134
286 824.609 576.432
287 824.609 576.432
288 826.606 551.016
289 832.247 702.598
291 836.403 820.454
295 844.139 681.15
298 840.76 394.529
299 843.259 408.312
301 849.789 632.156
302 847.979 506.234
303 847.979 506.234
306 853.428 386.969
309 858.394 559.011
312 860.349 495.447
313 864.447 598.314
314 864.803 390.54
316 871.285 860.205
317 871.187 387.332
318 874.532 585.797
319 877.391 712.437
320 885.894 816.285
321 885.112 487.952
322 884.242 869.945
323 887.125 566.412
324 893.879 866.241
326 907.037 688.165
327 918.08 604.689
331 927.041 873.813
334 931.359 421.524
336 948.993 770.615
340 954.85 864.032
341 957.801 504.036
342 956.367 449.983
343 960.044 634.409
345 961.359 531.091
346 967.279 849.272
347 967.426 400.37
348 974.815 376.689
349 974.815 376.689
353 996.268 359.297
354 1002.4 398.963
355 1017.35 402.598
356 1026.12 719.911
359 1030.85 435.493
360 1040.14 756.769
362 1051.39 465.016
365 1067.2 616.666
366 1067.2 616.666
367 1071.67 676.701
368 1072.46 816.073
369 1088.28 729.616
371 1099.15 403.661
373 1122.34 675.127
374 1124.91 400.28
375 1127.95 817.376
376 1102.53 1018.37
378 1137.8 429.106
379 1137.23 790.556
380 1136.6 769.006
381 1148.21 513.253
383 1156.26 708.694
384 1162.25 793.722
386 1165.41 779.197
388 1166.65 728.809
390 1188.73 665.098
391 1188.73 665.098
392 1201.31 644.081
394 1209.42 690.242
397 1238.6 683.314
398 1246.84 634.948
399 1247.98 705.705
400 1250.59 853.235
401 1255.39 702.186
402 1271.57 463.73
403 1276.51 615.577
404 1274.73 657.878
405 1281.49 690.036
406 1288.08 856.42
408 1296.62 613.27
409 1300.04 702.509
410 1297.67 843.648
412 1303 841.964
413 1305.71 760.716
416 1323.58 808.893
417 1327.03 792.653
418 1331.35 665.547
421 1365.89 735.221
422 1379.53 761.908
423 1379.53 761.908
425 1382.31 516.663
426 1385.75 804.634
427 1392.92 797.854
428 1398.45 725.475
429 1406.17 717.361
430 1409.58 698.973
433 1442.12 545.784
434 1446.62 795.723
435 1445.82 663.804
436 1449.6 686.549
438 1475.1 665.873
441 1490.39 458.942
442 1491.61 451.391
444 1504.55 793.254
445 1509.26 502.59
446 1511.1 740.271
447 1521.34 593.715
448 1522.44 620.086
449 1524.71 445.933
450 1531.55 590.936
451 1531.25 557.127
452 1535.3 571.238
454 1585.77 753.129
455 1608.85 472.344
456 1612.35 809.244
457 1622.08 732.79
458 1620.99 648.555
459 1627.17 657.012
461 1636.33 776.15
462 1635.01 682.658
463 1637.04 754.883
464 1643.84 802.826
465 1644.21 613.337
466 1649.69 702.631
467 1651.29 721.981
468 1652.92 757.964
473 1670.7 721.916
474 1674.26 704.577
475 1680.66 799.67
477 1696.42 611.835
478 1703.79 781.077
479 1710.02 701.325
480 1720.46 829.749
481 1718.94 609.075
482 1729.07 802.831
483 1732.84 371.699
484 1737.31 781.903
485 1736.44 616.801
486 1738.93 770.452
491 1743.31 692.317
492 1745.52 731.76
493 1747.36 751.47
494 1747.36 751.47
495 1745.53 602.852
496 1752.6 725.012
497 1752.6 725.012
499 1759.77 720.603
501 1763.34 603.963
504 1776.51 718.351
505 1777 607.021
508 1788.48 760.478
509 1788.25 666.691
510 1794.26 682.026
511 1793.08 655.524
512 1794.12 640.97
513 1794.12 640.97
515 1801.92 636.637
516 1801.92 636.637
518 1805.44 569.141
519 1803.41 629.849
521 1811.71 562.982
523 1816.32 723.993
524 1818.06 513.716
525 1817.85 583.525
526 1824.57 704.947
528 1829.23 667.044
529 1832.92 674.875
530 1838.09 635.974
531 1844.07 753.184
532 1845.68 792.661
533 1845.68 792.661
534 1850.77 714.672
535 1850.77 714.672
536 1853.1 801.785
537 1862.84 548.683
538 1864.58 756.172
540 1863.49 636.952
541 1863.96 654.886
543 1869.62 628.223
544 1873.32 760.431
545 1875.01 787.778
546 1875.26 772.966
549 1881.49 813.014
550 1880.53 703.962
551 1883.36 787.861
552 1883.3 718.268
554 1882.55 668.39
556 1884.73 693.51
557 1884.73 693.51
558 1887.68 831.839
559 1887.19 745.359
560 1892.4 618.383
561 1895.64 693.929
562 1899.18 710.188
563 1899.18 710.188
564 1900.35 625.988
565 1902.54 790.719
566 1908.71 808.586
567 1914.89 705.806
568 1915.23 697.868
569 1921.73 818.973
570 1927.2 827.045
575 1932.61 618.094
576 1933.31 630.604
577 1936.33 576.395
578 1936.23 813.82
579 1935.92 644.344
580 1940.43 806.015
581 1942.07 704.194
583 1949.1 659.308
584 1958.52 775.147
585 1962.76 624.593
586 1966.15 651.285
587 1966.15 651.285
588 1968.73 586.657
589 1975.03 648.664
590 1977.58 682.038
595 2005.37 621.172
596 2006.45 671.661
597 2009.79 686.195
598 2017.96 821.923
599 2024.68 508.522
600 2018.31 612.673
601 2024.55 740.594
603 2014.05 898.039
604 2026.29 651.558
605 2028.94 633.607
608 2050.22 797.864
609 2054.45 762.526
611 2060.9 688.843
612 2064.89 749.071
613 2068.19 730.399
614 2074.49 813.836
615 2075.5 720.221
616 2079.57 651.124
617 2085.02 752.982
618 2090.65 806.079
619 2091.04 762.547
620 2092.18 726.362
623 2140.02 700.52
624 2142.5 761.514
625 2145.04 538.893
626 2151.37 809.37
628 2159.38 743.821
629 2159.38 743.821
630 2158.88 667.123
631 2162.91 804.369
632 2165.93 639.363
633 2170.79 749.846
634 2170.54 733.122
635 2172.21 535.903
636 2179.13 724.657
637 2179.79 745.931
639 2189.71 655.461
640 2198.76 641.213
641 2198.84 576.025
642 2210.79 735.475
646 2218.11 704.822
647 2218.11 704.822
648 2227.99 658.428
650 2238.82 717.064
